review_id,recipe_id,user,rating,comment,date
1,1,Anonymous,4.4,No review available.,2025-01-01
2,2,Anonymous,4.8,No review available.,2025-01-01
3,3,Anonymous,4.8,No review available.,2025-01-01
4,4,Anonymous,4.7,No review available.,2025-01-01
5,5,Anonymous,4.7,No review available.,2025-01-01
6,6,Anonymous,4.7,No review available.,2025-01-01
7,7,Anonymous,4.6,No review available.,2025-01-01
8,8,Anonymous,4.6,No review available.,2025-01-01
9,9,Anonymous,4.7,No review available.,2025-01-01
10,10,Anonymous,4.6,No review available.,2025-01-01
11,11,Anonymous,4.6,No review available.,2025-01-01
12,12,Anonymous,4.7,No review available.,2025-01-01
13,13,Anonymous,4.5,No review available.,2025-01-01
14,14,Anonymous,4.8,No review available.,2025-01-01
15,15,Anonymous,4.8,No review available.,2025-01-01
16,16,Anonymous,4.4,No review available.,2025-01-01
17,17,Anonymous,4.5,No review available.,2025-01-01
18,18,Anonymous,4.6,No review available.,2025-01-01
19,19,Anonymous,4.7,No review available.,2025-01-01
20,20,Anonymous,4.4,No review available.,2025-01-01
21,21,Anonymous,4.6,No review available.,2025-01-01
22,22,Anonymous,4.8,No review available.,2025-01-01
23,23,Anonymous,4.7,No review available.,2025-01-01
24,24,Anonymous,4.9,No review available.,2025-01-01
25,25,Anonymous,4.1,No review available.,2025-01-01
26,26,Anonymous,4.1,No review available.,2025-01-01
27,27,Anonymous,4.5,No review available.,2025-01-01
28,28,Anonymous,3.5,No review available.,2025-01-01
29,29,Anonymous,4.5,No review available.,2025-01-01
30,30,Anonymous,4.3,No review available.,2025-01-01
31,31,Anonymous,4.6,No review available.,2025-01-01
32,32,Anonymous,4.4,No review available.,2025-01-01
33,33,Anonymous,4.8,No review available.,2025-01-01
34,34,Anonymous,4.8,No review available.,2025-01-01
35,35,Anonymous,4.7,No review available.,2025-01-01
36,36,Anonymous,4.7,No review available.,2025-01-01
37,37,Anonymous,4.7,No review available.,2025-01-01
38,38,Anonymous,4.6,No review available.,2025-01-01
39,39,Anonymous,4.6,No review available.,2025-01-01
40,40,Anonymous,4.7,No review available.,2025-01-01
41,41,Anonymous,4.6,No review available.,2025-01-01
42,42,Anonymous,4.6,No review available.,2025-01-01
43,43,Anonymous,4.7,No review available.,2025-01-01
44,44,Anonymous,4.5,No review available.,2025-01-01
45,45,Anonymous,4.8,No review available.,2025-01-01
46,46,Anonymous,4.8,No review available.,2025-01-01
47,47,Anonymous,4.4,No review available.,2025-01-01
48,48,Anonymous,4.5,No review available.,2025-01-01
49,49,Anonymous,4.6,No review available.,2025-01-01
50,50,Anonymous,4.7,No review available.,2025-01-01
51,51,Anonymous,4.4,No review available.,2025-01-01
52,52,Anonymous,4.6,No review available.,2025-01-01
53,53,Anonymous,4.8,No review available.,2025-01-01
54,54,Anonymous,4.7,No review available.,2025-01-01
55,55,Anonymous,4.9,No review available.,2025-01-01
56,56,Anonymous,4.1,No review available.,2025-01-01
57,57,Anonymous,4.1,No review available.,2025-01-01
58,58,Anonymous,4.5,No review available.,2025-01-01
59,59,Anonymous,3.5,No review available.,2025-01-01
60,60,Anonymous,4.5,No review available.,2025-01-01
61,61,Anonymous,4.3,No review available.,2025-01-01
62,62,Anonymous,4.6,No review available.,2025-01-01
63,63,Anonymous,4.4,No review available.,2025-01-01
64,64,Anonymous,4.8,No review available.,2025-01-01
65,65,Anonymous,4.8,No review available.,2025-01-01
66,66,Anonymous,4.7,No review available.,2025-01-01
67,67,Anonymous,4.7,No review available.,2025-01-01
68,68,Anonymous,4.7,No review available.,2025-01-01
69,69,Anonymous,4.6,No review available.,2025-01-01
70,70,Anonymous,4.6,No review available.,2025-01-01
71,71,Anonymous,4.7,No review available.,2025-01-01
72,72,Anonymous,4.6,No review available.,2025-01-01
73,73,Anonymous,4.6,No review available.,2025-01-01
74,74,Anonymous,4.7,No review available.,2025-01-01
75,75,Anonymous,4.5,No review available.,2025-01-01
76,76,Anonymous,4.8,No review available.,2025-01-01
77,77,Anonymous,4.8,No review available.,2025-01-01
78,78,Anonymous,4.4,No review available.,2025-01-01
79,79,Anonymous,4.5,No review available.,2025-01-01
80,80,Anonymous,4.6,No review available.,2025-01-01
81,81,Anonymous,4.7,No review available.,2025-01-01
82,82,Anonymous,4.4,No review available.,2025-01-01
83,83,Anonymous,4.6,No review available.,2025-01-01
84,84,Anonymous,4.8,No review available.,2025-01-01
85,85,Anonymous,4.7,No review available.,2025-01-01
86,86,Anonymous,4.9,No review available.,2025-01-01
87,87,Anonymous,4.1,No review available.,2025-01-01
88,88,Anonymous,4.1,No review available.,2025-01-01
89,89,Anonymous,4.5,No review available.,2025-01-01
90,90,Anonymous,3.5,No review available.,2025-01-01
91,91,Anonymous,4.5,No review available.,2025-01-01
92,92,Anonymous,4.3,No review available.,2025-01-01
93,93,Anonymous,4.6,No review available.,2025-01-01
94,94,Anonymous,4.4,No review available.,2025-01-01
95,95,Anonymous,4.8,No review available.,2025-01-01
96,96,Anonymous,4.8,No review available.,2025-01-01
97,97,Anonymous,4.7,No review available.,2025-01-01
98,98,Anonymous,4.7,No review available.,2025-01-01
99,99,Anonymous,4.7,No review available.,2025-01-01
100,100,Anonymous,4.6,No review available.,2025-01-01
101,101,Anonymous,4.6,No review available.,2025-01-01
102,102,Anonymous,4.7,No review available.,2025-01-01
103,103,Anonymous,4.6,No review available.,2025-01-01
104,104,Anonymous,4.6,No review available.,2025-01-01
105,105,Anonymous,4.7,No review available.,2025-01-01
106,106,Anonymous,4.5,No review available.,2025-01-01
107,107,Anonymous,4.8,No review available.,2025-01-01
108,108,Anonymous,4.8,No review available.,2025-01-01
109,109,Anonymous,4.4,No review available.,2025-01-01
110,110,Anonymous,4.5,No review available.,2025-01-01
111,111,Anonymous,4.6,No review available.,2025-01-01
112,112,Anonymous,4.7,No review available.,2025-01-01
113,113,Anonymous,4.4,No review available.,2025-01-01
114,114,Anonymous,4.6,No review available.,2025-01-01
115,115,Anonymous,4.8,No review available.,2025-01-01
116,116,Anonymous,4.7,No review available.,2025-01-01
117,117,Anonymous,4.9,No review available.,2025-01-01
118,118,Anonymous,4.1,No review available.,2025-01-01
119,119,Anonymous,4.1,No review available.,2025-01-01
120,120,Anonymous,4.5,No review available.,2025-01-01
121,121,Anonymous,3.5,No review available.,2025-01-01
122,122,Anonymous,4.5,No review available.,2025-01-01
123,123,Anonymous,4.3,No review available.,2025-01-01
124,124,Anonymous,4.6,No review available.,2025-01-01
125,125,Anonymous,4.2,No review available.,2025-01-01
126,126,Anonymous,4.4,No review available.,2025-01-01
127,127,Anonymous,4.6,No review available.,2025-01-01
128,128,Anonymous,4.4,No review available.,2025-01-01
129,129,Anonymous,4.7,No review available.,2025-01-01
130,130,Anonymous,4.8,No review available.,2025-01-01
131,131,Anonymous,4.6,No review available.,2025-01-01
132,132,Anonymous,4.3,No review available.,2025-01-01
133,133,Anonymous,4.5,No review available.,2025-01-01
134,134,Anonymous,4.7,No review available.,2025-01-01
135,135,Anonymous,4.6,No review available.,2025-01-01
136,136,Anonymous,4.6,No review available.,2025-01-01
137,137,Anonymous,4.2,No review available.,2025-01-01
138,138,Anonymous,4.1,No review available.,2025-01-01
139,139,Anonymous,4.6,No review available.,2025-01-01
140,140,Anonymous,4.6,No review available.,2025-01-01
141,141,Anonymous,4.4,No review available.,2025-01-01
142,142,Anonymous,4.5,No review available.,2025-01-01
143,143,Anonymous,4.8,No review available.,2025-01-01
144,144,Anonymous,4.9,No review available.,2025-01-01
